"easting" "northing" "band1" "band2" "band3" "band4" "band5" "band6" "band7"
18 20 78 34 34 80 91 126 35
18 21 79 34 33 77 88 126 35
18 22 77 33 33 83 96 127 37
18 23 77 35 34 91 96 133 37
18 24 78 35 35 92 100 133 39
18 25 78 35 36 90 93 133 37
18 26 75 33 32 74 61 127 25
18 27 69 28 25 51 37 119 15
18 28 66 25 22 41 41 119 17
18 29 66 25 25 43 55 119 24
18 30 70 27 28 48 65 124 28
19 1 85 39 45 67 101 130 47
19 2 85 38 44 67 104 130 47
19 3 85 38 46 71 105 129 49
19 4 85 39 46 71 103 129 47
19 5 86 39 44 71 102 129 44
19 6 82 38 43 77 101 129 42
19 7 83 37 41 81 104 129 43
19 8 86 39 45 85 111 129 48
19 9 90 41 44 86 115 129 51
19 10 88 41 45 85 115 129 49
19 11 88 39 43 85 108 129 46
19 12 80 38 37 87 99 126 40
19 13 79 36 35 88 97 126 39
19 14 77 35 34 80 96 126 41
19 15 76 33 34 77 99 127 40
19 16 76 34 34 79 97 128 40
19 17 75 33 31 82 93 128 35
19 18 75 32 30 86 93 128 35
19 19 76 33 33 85 92 127 36
19 20 77 34 33 79 90 127 35
19 21 75 32 34 77 89 127 34
19 22 78 34 34 85 100 127 38
19 23 77 36 36 93 100 133 37
19 24 78 35 34 94 103 133 39
19 25 79 35 35 92 101 133 41
19 26 78 35 36 83 83 130 34
19 27 72 31 30 61 42 119 17
19 28 67 25 22 43 39 119 16
19 29 68 25 24 43 52 120 23
19 30 71 26 28 47 65 123 28
20 1 86 38 45 68 102 129 46
20 2 83 38 44 69 104 129 46
20 3 85 39 45 73 106 129 48
20 4 85 39 46 73 103 129 47
20 5 82 39 43 76 104 129 44
20 6 83 38 42 81 105 129 43
20 7 84 37 41 86 106 129 44
20 8 85 38 43 86 111 129 47
20 9 87 39 44 84 112 129 48
20 10 85 38 42 86 111 129 46
20 11 84 37 39 89 105 129 43
20 12 79 38 35 86 98 126 39
20 13 80 36 35 86 97 126 40
20 14 76 33 33 76 101 127 42
20 15 76 33 34 80 103 128 42
20 16 78 34 35 84 103 129 42
20 17 77 34 33 82 97 129 39
20 18 76 34 32 81 97 129 38
20 19 77 34 33 82 94 128 37
20 20 77 34 34 77 88 127 36
20 21 77 33 32 83 91 127 35
20 22 78 33 33 87 99 127 37
20 23 78 35 36 92 103 131 40
20 24 79 35 35 94 103 133 40
20 25 79 35 35 92 103 133 38
20 26 79 35 35 87 99 133 38
20 27 77 34 34 72 51 123 20
20 28 69 25 22 43 38 124 15
20 29 67 25 23 43 55 124 22
20 30 69 26 28 48 65 124 28
21 1 84 38 44 70 104 129 46
21 2 85 38 44 73 104 129 48
21 3 85 38 44 78 108 129 47
21 4 85 40 45 80 105 129 46
21 5 85 39 41 84 107 129 44
21 6 84 39 41 85 107 129 44
21 7 83 39 43 88 107 129 45
21 8 85 39 43 86 112 129 47
